texto,label
"Minhas tarefas ficam acumuladas por falta de execução.",0
"Tenho dificuldades em interpretar instruções.",0
"Meu desempenho é inconsistente.",0
"Evito resolver problemas e espero alguém fazer por mim.",0
"Não entrego atividades no nível esperado.",0
"Tenho dificuldades em lidar com feedback.",0
"Frequentemente faço o mínimo possível.",0
"Não me preocupo em melhorar meus resultados.",0
"Tenho dificuldade em lidar com multitarefas.",0
"Preciso de supervisão constante para trabalhar.",0
"Raramente finalizo o que começo.",0
"Meu desempenho não atende às expectativas.",0
"Sou desorganizado e isso me atrapalha muito.",0
"Não demonstro comprometimento com a equipe.",0
"Tenho problemas constantes com atrasos.",0
"Não sigo padrões definidos pela empresa.",0
"Tenho performance muito abaixo do esperado.",0
"Não participo de treinamentos importantes.",0
"Frequentemente deixo atividades incompletas.",0
"Tenho dificuldade em agir com autonomia.",0
"Não tenho boa administração do meu tempo.",0
"Tenho pouca preocupação com qualidade.",0
"Cometo deslizes que prejudicam o time.",0
"Não demonstro interesse em evoluir.",0
"Preciso ser lembrado sobre minhas responsabilidades.",0
"Minhas entregas geralmente são de baixa qualidade.",0
"Tenho pouca iniciativa para resolver problemas.",0
"Não acompanho o andamento das próprias tarefas.",0
"Não busco feedback nem melhoria contínua.",0
"Frequentemente sou surpreendido por tarefas vencidas.",0
"Tenho dificuldade em cumprir rotinas básicas.",0
"Não mantenho foco para concluir tarefas.",0
"Tenho entregas insuficientes e abaixo do esperado.",0
"Cometo erros por falta de atenção e revisão.",0
"Tenho baixo engajamento nas atividades.",0
"Cumpro minhas tarefas, mas quase nunca ajudo em atividades extras.",1
"Acho que desempenho bem meu papel, mas ainda posso evoluir na comunicação.",1
"Sinto que poderia ser mais proativo, geralmente faço só o que me pedem.",1
"Meu desempenho é regular, mas consigo entregar dentro do esperado.",1
"Faço o necessário, mas sem muito destaque.",1
"Às vezes ajudo colegas, mas nem sempre tenho disponibilidade.",1
"Sou responsável, mas ainda preciso melhorar minha organização.",1
"Entrego minhas atividades no prazo, mas sem muita consistência.",1
"Consigo lidar com tarefas simples, mas tenho dificuldade com desafios.",1
"Tenho um bom desempenho geral, porém oscilo em algumas semanas.",1
"Busco melhorar, mas ainda tenho dificuldade em manter constância.",1
"Cumpro o básico do meu trabalho sem problemas.",1
"Tenho desempenho estável, mas sem grandes iniciativas.",1
"Participo das atividades, mas não costumo assumir liderança.",1
"Me esforço para entregar resultados, mas às vezes falho no planejamento.",1
"Trabalho bem em equipe, mas nem sempre contribuo como poderia.",1
"Sou comprometido, mas ainda tenho espaço para evoluir.",1
"Consigo seguir instruções, mas nem sempre entendo de primeira.",1
"Minha produtividade varia conforme o tipo de tarefa.",1
"Tenho boa disciplina, mas falta mais iniciativa.",1
"Consigo fazer o que me pedem, mas poucas vezes vou além.",1
"Meu ritmo de trabalho é estável, mas pouco proativo.",1
"Tenho boa relação com a equipe, mas interajo pouco.",1
"Realizo minhas entregas, mas sem destaque.",1
"Busco cumprir metas, porém às vezes me perco nas prioridades.",1
"Tenho desempenho intermediário e reconheço que posso melhorar.",1
"Faço meu trabalho dentro do esperado, mas sem inovação.",1
"Tenho responsabilidade, mas não costumo assumir tarefas extras.",1
"Me adapto razoavelmente às mudanças.",1
"Organizo minhas tarefas, mas cometo deslizes ocasionais.",1
"Consigo manter uma boa rotina, mas sem grande produtividade.",1
"Meu desempenho é mediano, mas estável.",1
"Sou participativo, mas raramente proponho melhorias.",1
"Tenho comunicação aceitável, porém pouco objetiva.",1
"Cumpro prazos, mas com pouco planejamento.",1
"Apresento desempenho satisfatório, mas previsível.",1
"Faço de tudo para entregar, mas falta agilidade.",1
"Tenho boa postura profissional, mas pouca iniciativa.",1
"Realizo tarefas diárias sem maiores problemas.",1
"Às vezes ajudo colegas, dependendo da carga de trabalho.",1
"Meu desempenho atende, mas não supera expectativas.",1
"Tenho certa dificuldade com tarefas mais complexas.",1
"Cumpro o que é solicitado, mas sem muito engajamento.",1
"Meu foco é razoável, mas varia ao longo do dia.",1
"Tenho boa disciplina, mas me falta autonomia.",1
"Consigo trabalhar sob pressão moderada.",1
"Busco seguir padrões, mas erro ocasionalmente.",1
"Sou organizado, mas não o suficiente para evitar todos os atrasos.",1
"Tenho qualidade aceitável nas entregas, mas posso melhorar.",1
"Costumo fazer o essencial, sem ir além.",1
"Participo de reuniões, mas falo pouco.",1
"Sou colaborativo, mas nem sempre ativo.",1
"Atendo às expectativas mínimas do cargo.",1
"Tenho ritmo constante, mas pouco inovador.",1
"Meu desempenho não se destaca, mas é confiável.",1
"Consigo manter regularidade no trabalho.",1
"Me comunico bem, mas não muito assertivo.",1
"Tenho desempenho previsível e estável.",1
"Cumpro minha parte, apesar de pouca iniciativa.",1
"Meu engajamento é razoável.",1
"Consigo lidar com tarefas diárias, mas sem destaque.",1
"Tenho bom comportamento profissional, mas falta proatividade.",1
"Faço entregas no prazo, mas sem grande qualidade.",1
"Sou esforçado, mas sem grandes resultados.",1
"Tenho uma performance regular sem grandes erros.",1
"Cumpro quase sempre o planejado.",1
"Minha produtividade é moderada.",1
"Entrego o trabalho, mas sem grande capricho.",1
"Tenho organização razoável, mas falho às vezes.",1
"Busco melhorar, mas ainda não alcanço alta performance.",1
"Desempenho adequado, mas sem grandes entregas.",1
"Sou comunicativo, mas pouco participativo.",1
"Me envolvo moderadamente nas atividades.",1
"Tenho foco, mas me distraio ocasionalmente.",1
"Contribuo quando posso, mas sem destaque.",1
"Sou cooperativo, porém pouco proativo.",1
"Tenho bom entendimento das tarefas, mas falho em detalhes.",1
"Consigo manter um fluxo de trabalho estável.",1
"Desempenho consistente, porém básico.",1
"Não apresento grandes falhas, mas também não me destaco.",1
"Faço um trabalho correto, mas pouco inovador.",1
"Cumpro rotinas, mas raramente proponho melhorias.",1
"Meu ritmo de trabalho é moderado.",1
"Tenho entrega adequada, mas sem qualidade excepcional.",1
"Sou comprometido dentro do necessário.",1
"Trabalho bem, mas falta mais proatividade.",1
"Sou estável, mas pouco surpreendente.",1
"Tenho desempenho mediano e confiável.",1
"Me comunico bem, mas falta mais clareza.",1
"Trabalho dentro do padrão esperado.",1
"Sou responsável, mas não muito ativo.",1
"Tenho disciplina, mas falta iniciativa.",1
"Sou colaborativo, mas raramente assumo responsabilidade extra.",1
"Faço entregas constantes, mas sem destaque.",1
"Meu trabalho é correto, mas básico.",1
"Entrego todas as atividades no prazo e ajudo meus colegas quando possível.",2
"Consigo lidar bem com pressão e raramente perco prazos.",2
"Busco melhorar meus resultados todo mês e peço feedback para o supervisor.",2
"Costumo assumir responsabilidades extras e liderar atividades em grupo.",2
"Sou altamente comprometido e sempre entrego com qualidade.",2
"Tenho organização exemplar e administro bem meu tempo.",2
"Ajudo colegas frequentemente e colaboro de forma ativa.",2
"Apresento ótimos resultados e sempre procuro otimizar processos.",2
"Tenho iniciativa e proponho melhorias constantemente.",2
"Trabalho muito bem sob pressão e mantenho alta performance.",2
"Sou pontual e cumpro prazos rigorosamente.",2
"Sempre faço mais do que o esperado.",2
"Minha comunicação é clara e eficiente.",2
"Assumo responsabilidades difíceis sem hesitar.",2
"Sou proativo e resolvo problemas rapidamente.",2
"Aprendo novas ferramentas com facilidade.",2
"Tenho postura de liderança e boa influência na equipe.",2
"Busco aperfeiçoamento contínuo.",2
"Tenho excelente produtividade diária.",2
"Sou organizado e raramente cometo erros.",2
"Minha performance é consistente e acima da média.",2
"Contribuo ativamente em reuniões e projetos.",2
"Ajudo a equipe a alcançar metas mais altas.",2
"Tenho boa visão estratégica do trabalho.",2
"Sou capaz de realizar tarefas complexas com autonomia.",2
"Recebo elogios frequentes pelo bom desempenho.",2
"Minha entrega é rápida e de alta qualidade.",2
"Sou engajado e participo de todas as atividades do time.",2
"Tenho excelente controle emocional sob pressão.",2
"Proponho soluções criativas para problemas recorrentes.",2
"Faço meu trabalho com dedicação e excelência.",2
"Sou referência técnica para meus colegas.",2
"Colaboro com entusiasmo em projetos desafiadores.",2
"Me adapto facilmente a mudanças.",2
"Tenho foco elevado e alta produtividade.",2
"Ajudo a treinar novos colaboradores.",2
"Faço entregas antecipadas com frequência.",2
"Tenho disciplina e organização exemplar.",2
"Minhas decisões costumam ser assertivas.",2
"Executo minhas tarefas com precisão.",2
"Ajudo a melhorar processos internos.",2
"Tenho alta autonomia nas atividades.",2
"Sou extremamente comprometido com metas.",2
"Sempre mantenho a qualidade independente do prazo.",2
"Sou ágil e eficiente em minhas entregas.",2
"Meu desempenho é destaque no time.",2
"Trabalho muito bem em equipe.",2
"Proponho melhorias contínuas.",2
"Tenho iniciativa em momentos críticos.",2
"Consigo assumir múltiplas atividades sem perder qualidade.",2
"Sou resiliente e foco na solução.",2
"Tenho excelente aproveitamento nas atividades.",2
"Auxilio colegas em dificuldades.",2
"Minha média de produtividade é alta.",2
"Sou organizado e atualizado tecnicamente.",2
"Mantenho boas práticas de trabalho sempre.",2
"Ajudo na criação de novos processos.",2
"Sou muito dedicado e disciplinado.",2
"Minha entrega é completa e bem estruturada.",2
"Tenho ótimo relacionamento com todos.",2
"Contribuo para melhorar a cultura do time.",2
"Sou reconhecido pela minha eficiência.",2
"Tenho grande facilidade em priorizar tarefas.",2
"Me destaco em projetos complexos.",2
"Costumo resolver problemas antes que se tornem grandes.",2
"Sou produtivo mesmo em cenários difíceis.",2
"Tenho excelente entendimento das demandas.",2
"Ajudo o time a alcançar padrões mais altos.",2
"Costumo superar metas estabelecidas.",2
"Me comprometo com a evolução da equipe.",2
"Sou exemplo de comprometimento e responsabilidade.",2
"Tenho postura ativa e motivadora.",2
"Entrego resultados superiores à média.",2
"Sou detalhista e cuidadoso.",2
"Proponho novas ideias com frequência.",2
"Tenho forte senso de dono nas tarefas.",2
"Ajudo a evitar retrabalho com minhas revisões.",2
"Sou organizado e eficiente com processos.",2
"Executo tarefas com alta precisão.",2
"Trabalho com velocidade e qualidade ao mesmo tempo.",2
"Tenho excelente ritmo de produção.",2
"Contribuo com inovação na equipe.",2
"Aprendo rapidamente com feedbacks.",2
"Sou engajado em treinamentos e melhorias.",2
"Tenho autonomia para resolver problemas complexos.",2
"Sou referência em produtividade.",2
"Faço entregas impecáveis.",2
"Ajudo a manter o clima organizacional positivo.",2
"Tenho forte senso de responsabilidade.",2
"Sou comprometido com o crescimento da empresa.",2
"Trabalho de forma estratégica e eficiente.",2
"Me destaco na execução de tarefas críticas.",2
"Conduzo atividades complexas com excelência.",2
"Sempre mantenho o foco em resultados.",2
"Sou organizado e metódico.",2
"Minha performance aumenta a cada mês.",2
"Dou suporte técnico aos colegas.",2
"Sou extremamente confiável e consistente.",2


